發生年度,發生月份,發生日期,發生時間,事故類別名稱,處理單位名稱警局層,發生地點,天候名稱,光線名稱,道路類別-第1當事者-名稱,速限-第1當事者,道路型態大類別名稱,道路型態子類別名稱,事故位置大類別名稱,事故位置子類別名稱,路面狀況-路面鋪裝名稱,路面狀況-路面狀態名稱,路面狀況-路面缺陷名稱,道路障礙-障礙物名稱,道路障礙-視距品質名稱,道路障礙-視距名稱,號誌-號誌種類名稱,號誌-號誌動作名稱,車道劃分設施-分向設施大類別名稱,車道劃分設施-分向設施子類別名稱,車道劃分設施-分道設施-快車道或一般車道間名稱,車道劃分設施-分道設施-快慢車道間名稱,車道劃分設施-分道設施-路面邊線名稱,事故類型及型態大類別名稱,事故類型及型態子類別名稱,肇因研判大類別名稱-主要,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分-類別-大類別名稱-車種,當事者區分-類別-子類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,保護裝備名稱,行動電話或電腦或其他相類功能裝置名稱,當事者行動狀態大類別名稱,當事者行動狀態子類別名稱,車輛撞擊部位大類別名稱-最初,車輛撞擊部位子類別名稱-最初,車輛撞擊部位大類別名稱-其他,車輛撞擊部位子類別名稱-其他,肇因研判大類別名稱-個別,肇因研判子類別名稱-個別,肇事逃逸類別名稱-是否肇逃,經度,緯度
2023,7,20230701,000000,A2,國道公路警察局,嘉義縣水上鄉國道3號 303公里500.0公尺處南側向路肩,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車輛本身,撞護欄(樁),其他,其他不當駕車行為,死亡0;受傷2,1,小客車(含客、貨兩用),自用,女,63,繫安全帶(使用幼童安全椅),未使用,車的狀態,向右變換車道,汽車,前車頭,汽車,前車頭,其他,其他不當駕車行為,否,120.465788,23.425639
2023,7,20230701,002900,A2,臺北市政府警察局,臺北市文山區木柵路1段 / 臺北市文山區辛亥路7段,晴,有照明且開啟,市區道路,50,交岔路,四岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,車與車,其他,其他,其他不當駕車行為,死亡0;受傷1,1,機車,普通重型,男,66,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,右側車身,,,其他,其他不當駕車行為,否,121.552466,24.987796
2023,7,20230701,002900,A2,臺北市政府警察局,臺北市文山區木柵路1段 / 臺北市文山區辛亥路7段,晴,有照明且開啟,市區道路,50,交岔路,四岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,車與車,其他,其他,其他不當駕車行為,死亡0;受傷1,2,特種車,警備車,男,39,未戴安全帽或未繫安全帶(未使用幼童安全椅),未使用,車的狀態,靜止(引擎熄火),汽車,左後車尾(身),,,駕駛者,違反車輛專用標誌(線),否,121.552466,24.987796
2023,7,20230701,003037,A2,南投縣政府警察局,南投縣埔里鎮中山路一段181巷附近,晴,有照明且開啟,省道,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,撞電桿,駕駛者,打瞌睡或疲勞駕駛(包括連續駕車8小時),死亡0;受傷1,1,機車,普通重型,男,24,不明,不明,車的狀態,向前直行中,機車與自行車,前車頭,機車與自行車,左側車身,駕駛者,打瞌睡或疲勞駕駛(包括連續駕車8小時),否,120.996607,23.977882
2023,7,20230701,003037,A2,南投縣政府警察局,南投縣埔里鎮中山路一段181巷附近,晴,有照明且開啟,省道,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,撞電桿,駕駛者,打瞌睡或疲勞駕駛(包括連續駕車8小時),死亡0;受傷1,2,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.996607,23.977882
2023,7,20230701,003710,A2,彰化縣警察局,彰化縣和美鎮彰草路2段276號前0.0公尺,晴,有照明且開啟,村里道路,50,交岔路,四岔路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,路上翻車、摔倒,駕駛者,酒醉(後)駕駛,死亡0;受傷1,1,機車,普通重型,男,44,不明,不明,車的狀態,靜止(引擎熄火),其他,無撞擊,其他,無撞擊,駕駛者,酒醉(後)駕駛,否,120.509463,24.081752
2023,7,20230701,003710,A2,彰化縣警察局,彰化縣和美鎮彰草路2段276號前0.0公尺,晴,有照明且開啟,村里道路,50,交岔路,四岔路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,路上翻車、摔倒,駕駛者,酒醉(後)駕駛,死亡0;受傷1,2,,,無或物(動物、堆置物),-1,,,,,,,,,,,,120.509463,24.081752
2023,7,20230701,004400,A2,臺北市政府警察局,臺北市中正區市民大道2段 / 臺北市中正區天津街,陰,有照明且開啟,市區道路,40,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,闖紅燈左轉,死亡0;受傷1,1,大客車,遊覽車,男,56,繫安全帶(使用幼童安全椅),不明,車的狀態,左轉彎,汽車,左前車頭(身),,,駕駛者,闖紅燈左轉,否,121.522340,25.047819
2023,7,20230701,004400,A2,臺北市政府警察局,臺北市中正區市民大道2段 / 臺北市中正區天津街,陰,有照明且開啟,市區道路,40,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,闖紅燈左轉,死亡0;受傷1,2,機車,普通重型,男,29,戴非半罩式安全帽,不明,車的狀態,向前直行中,其他,無撞擊,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.522340,25.047819
2023,7,20230701,010000,A2,新北市政府警察局,新北市新莊區中華路 / 新北市新莊區自立街,晴,有照明且開啟,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌(附設行人專用號誌),正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛者,有號誌路口，轉彎車未讓直行車先行,死亡0;受傷1,1,小客車(含客、貨兩用),自用,男,39,不明,未使用,車的狀態,左轉彎,汽車,左前車頭(身),,,駕駛者,有號誌路口，轉彎車未讓直行車先行,否,121.452481,25.039981
2023,7,20230701,010000,A2,新北市政府警察局,新北市新莊區中華路 / 新北市新莊區自立街,晴,有照明且開啟,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌(附設行人專用號誌),正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛者,有號誌路口，轉彎車未讓直行車先行,死亡0;受傷1,2,機車,普通重型,男,26,不明,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.452481,25.039981
2023,7,20230701,020758,A2,新竹縣政府警察局,新竹縣新豐鄉中興路19號前,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,違反其他標誌(線)禁制,死亡0;受傷2,1,機車,普通重型,男,47,不明,未使用,車的狀態,左轉彎,機車與自行車,後車尾,機車與自行車,前車頭,駕駛者,違反其他標誌(線)禁制,否,120.999876,24.873539
2023,7,20230701,020758,A2,新竹縣政府警察局,新竹縣新豐鄉中興路19號前,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,違反其他標誌(線)禁制,死亡0;受傷2,2,機車,普通重型,男,19,不明,未使用,車的狀態,向前直行中,機車與自行車,前車頭,機車與自行車,後車尾,駕駛者,未保持行車安全距離,否,120.999876,24.873539
2023,7,20230701,025000,A2,臺北市政府警察局,臺北市萬華區和平西路3段236號前0.0公尺,晴,有照明且開啟,市區道路,40,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,車與車,其他,駕駛者,觀看其他事故、活動、道路環境或車外資訊分心駕駛,死亡0;受傷1,1,小客車(含客、貨兩用),計程車,男,58,繫安全帶(使用幼童安全椅),不明,車的狀態,向前直行中,汽車,前車頭,,,駕駛者,觀看其他事故、活動、道路環境或車外資訊分心駕駛,否,121.496083,25.035334
2023,7,20230701,025000,A2,臺北市政府警察局,臺北市萬華區和平西路3段236號前0.0公尺,晴,有照明且開啟,市區道路,40,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,車與車,其他,駕駛者,觀看其他事故、活動、道路環境或車外資訊分心駕駛,死亡0;受傷1,2,,,肇事逃逸尚未查獲,0,,,,,,,,,,肇事逃逸未查獲，無法查明肇因,是,121.496083,25.035334
2023,7,20230701,025000,A2,臺北市政府警察局,臺北市萬華區和平西路3段236號前0.0公尺,晴,有照明且開啟,市區道路,40,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,車與車,其他,駕駛者,觀看其他事故、活動、道路環境或車外資訊分心駕駛,死亡0;受傷1,3,小客車(含客、貨兩用),自用,男,47,繫安全帶(使用幼童安全椅),不明,車的狀態,靜止(引擎熄火),汽車,後車尾,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.496083,25.035334
2023,7,20230701,070000,A2,南投縣政府警察局,南投縣仁愛鄉台14甲線 21公里400.0公尺處附近向一般道路,晴,無照明,省道,30,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車輛本身,路上翻車、摔倒,其他,車輛或機械操作不當(慎),死亡0;受傷1,1,機車,普通重型,女,19,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,左側車身,機車與自行車,左側車身,其他,車輛或機械操作不當(慎),否,121.215806,24.113632
2023,7,20230701,070000,A2,南投縣政府警察局,南投縣仁愛鄉台14甲線 21公里400.0公尺處附近向一般道路,晴,無照明,省道,30,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車輛本身,路上翻車、摔倒,其他,車輛或機械操作不當(慎),死亡0;受傷1,2,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.215806,24.113632
2023,7,20230701,070000,A2,南投縣政府警察局,南投縣南投市南崗三路58巷、成功三路五街口,晴,無照明,市區道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛者,無號誌路口，左方車未讓右方車先行,死亡0;受傷1,1,小客車(含客、貨兩用),自用,男,44,繫安全帶(使用幼童安全椅),不明,車的狀態,向前直行中,汽車,右前車頭(身),汽車,右前車頭(身),駕駛者,無號誌路口，左方車未讓右方車先行,否,120.669651,23.927557
2023,7,20230701,070000,A2,南投縣政府警察局,南投縣南投市南崗三路58巷、成功三路五街口,晴,無照明,市區道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛者,無號誌路口，左方車未讓右方車先行,死亡0;受傷1,2,慢車,微型電動二輪車,男,41,戴半罩式安全帽,不明,車的狀態,向前直行中,機車與自行車,前車頭,機車與自行車,前車頭,駕駛者,未依規定減速,否,120.669651,23.927557
2023,7,20230701,071126,A2,臺南市政府警察局,臺南市西港區台19線 127公里800.0公尺處向路肩,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,路上翻車、摔倒,其他,其他不當駕車行為,死亡0;受傷1,1,機車,普通重型,男,63,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,左側車身,,,其他,其他不當駕車行為,否,120.202014,23.127315
2023,7,20230701,071126,A2,臺南市政府警察局,臺南市西港區台19線 127公里800.0公尺處向路肩,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,路上翻車、摔倒,其他,其他不當駕車行為,死亡0;受傷1,2,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.202014,23.127315
2023,7,20230701,072000,A2,臺北市政府警察局,臺北市文山區木新路2段238號前0.0公尺,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,迴轉未依規定,死亡0;受傷2,1,機車,普通重型,男,72,戴半罩式安全帽,未使用,車的狀態,迴轉或橫越道路中,機車與自行車,右側車身,,,駕駛者,迴轉未依規定,否,121.566728,24.983359
2023,7,20230701,072000,A2,臺北市政府警察局,臺北市文山區木新路2段238號前0.0公尺,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,迴轉未依規定,死亡0;受傷2,2,機車,普通重型,男,68,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,左側車身,,,其他,其他不當駕車行為,否,121.566728,24.983359
2023,7,20230701,072000,A2,臺北市政府警察局,臺北市文山區木新路2段238號前0.0公尺,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,迴轉未依規定,死亡0;受傷2,3,人,乘客,女,69,戴半罩式安全帽,非駕駛人,人的狀態,其他,其他,無撞擊,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.566728,24.983359
2023,7,20230701,072200,A2,國道公路警察局,臺中市烏日區國道1號 185公里南側向外側,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,恍神、緊張、心不在焉分心駕駛,死亡0;受傷1,1,小客車(含客、貨兩用),自用,男,18,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,,,駕駛者,恍神、緊張、心不在焉分心駕駛,否,120.593458,24.115535
2023,7,20230701,072200,A2,國道公路警察局,臺中市烏日區國道1號 185公里南側向外側,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,恍神、緊張、心不在焉分心駕駛,死亡0;受傷1,2,半聯結車,營業用,男,46,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,左後車尾(身),,,無(車輛駕駛者因素),尚未發現肇事因素,否,120.593458,24.115535
2023,7,20230701,072200,A2,國道公路警察局,臺中市烏日區國道1號 185公里南側向外側,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,恍神、緊張、心不在焉分心駕駛,死亡0;受傷1,3,小客車(含客、貨兩用),自用,男,49,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右側車身,汽車,左側車身,無(車輛駕駛者因素),尚未發現肇事因素,否,120.593458,24.115535
2023,7,20230701,073500,A2,臺北市政府警察局,臺北市內湖區內湖路1段前0.0公尺,晴,有照明未開啟或故障,市區道路,50,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),快慢車道分隔線,無,車與車,其他,駕駛者,未保持行車安全距離,死亡0;受傷2,1,機車,普通重型,男,23,戴半罩式安全帽,未使用,車的狀態,急減速或急停止,機車與自行車,左側車身,,,駕駛者,未保持行車安全距離,否,121.561447,25.084211
2023,7,20230701,073500,A2,臺北市政府警察局,臺北市內湖區內湖路1段前0.0公尺,晴,有照明未開啟或故障,市區道路,50,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),快慢車道分隔線,無,車與車,其他,駕駛者,未保持行車安全距離,死亡0;受傷2,2,機車,普通重型,男,31,戴半罩式安全帽,未使用,車的狀態,急減速或急停止,機車與自行車,左側車身,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.561447,25.084211
2023,7,20230701,073500,A2,臺北市政府警察局,臺北市內湖區內湖路1段前0.0公尺,晴,有照明未開啟或故障,市區道路,50,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),快慢車道分隔線,無,車與車,其他,駕駛者,未保持行車安全距離,死亡0;受傷2,3,大客車,遊覽車,男,54,繫安全帶(使用幼童安全椅),未使用,車的狀態,其他,其他,無撞擊,,,其他,其他不當駕車行為,否,121.561447,25.084211
