發生時間,發生地點,死亡受傷人數,車種,經度,緯度,unixtime
"2022-01-04 13:23:00",臺中市太平區大興里大興路658號前0.0公尺,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人;乘客-人,120.742683,24.157430,1641273780
"2022-01-05 08:10:00","桃園市龜山區南美街口 / 桃園市龜山區民生北路一段口",死亡1;受傷1,普通重型-機車;普通重型-機車,121.299793,25.042555,1641341400
"2022-01-05 11:17:00",高雄市仁武區仁林路前0.0公尺,死亡2;受傷0,普通重型-機車;營業用-半聯結車;乘客-人,120.375700,22.696640,1641352620
"2022-01-05 16:10:00",宜蘭縣羅東鎮北投街332號前0.0公尺附近,死亡1;受傷1,自用-小客車;行人-人;行人-人,121.753367,24.678192,1641370200
"2022-01-05 16:32:00","桃園市桃園區春日路口 / 桃園市桃園區向善街口",死亡1;受傷0,自用-小客車;普通重型-機車,121.308659,25.018669,1641371520
"2022-01-05 16:41:00",彰化縣花壇鄉北口村彰花路451弄67號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.520689,24.041924,1641372060
"2022-01-05 19:16:00","桃園市大溪區石園路口 / 桃園市大溪區石園路",死亡1;受傷0,行人-人;自用-小客車,121.250965,24.862166,1641381360
"2022-01-06 22:39:00",新北市五股區新北市五股區臺64線道路下五股一匝道,死亡1;受傷0,自用-小客車,121.398394,25.141247,1641479940
"2022-01-06 23:10:10","臺南市安定區國道1號 310公里700.0公尺處南側向外側",死亡1;受傷3,營業用-曳引車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人,120.248579,23.101022,1641481810
"2022-01-07 10:03:00",臺北市大同區重慶北路3段88號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,121.513597,25.066415,1641520980
"2022-01-07 12:55:00",臺南市新市區社內里社內28之18號前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車;普通重型-機車,120.285329,23.075751,1641531300
"2022-01-07 12:55:00","臺東縣池上鄉台9線 310公里",死亡1;受傷0,普通重型-機車;自用-小客車,121.197435,23.101927,1641531300
"2022-01-07 16:10:37",雲林縣麥寮鄉興華村山寮路115之60號附近,死亡1;受傷1,普通重型-機車;拼裝車-其他車,120.281800,23.747296,1641543037
"2022-01-07 23:06:00",臺中市大里區樹王里中投東路三段前0.0公尺,死亡1;受傷0,自用-小客車,120.672511,24.105498,1641567960
"2022-01-08 01:10:00","臺北市中正區新生南路1段 / 臺北市中正區仁愛路2段",死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;乘客-人,121.532598,25.038135,1641575400
"2022-01-08 16:10:00",臺東縣臺東市馬亨亨大道625號往東90公尺處,死亡1;受傷2,租賃車-小客車;乘客-人;乘客-人,121.141822,22.775140,1641629400
"2022-01-08 17:35:00",金門縣金湖鎮四維路15204號路燈桿前路段,死亡1;受傷0,普通重型-機車,118.461283,24.442848,1641634500
"2022-01-09 05:36:00","彰化縣芬園鄉社口村彰南路4段 / 彰化縣芬園鄉社口村成功路",死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,120.628448,24.012001,1641677760
"2022-01-09 13:39:00",桃園市平鎮區金陵路二段385之1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車;普通重型-機車,121.225152,24.934913,1641706740
"2022-01-09 14:29:00",彰化縣大城鄉臺西村北頭巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.284614,23.839906,1641709740
"2022-01-09 19:18:00",新北市新店區中央路57號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.527702,24.975640,1641727080
"2022-01-10 01:58:00","苗栗縣頭份市國道1號 109公里600.0公尺處北側向外側",死亡1;受傷0,行人-人;民營客運-大客車,120.922081,24.697203,1641751080
"2022-01-10 04:43:00","桃園市楊梅區楊新路口 / 桃園市楊梅區大成路口",死亡1;受傷0,行人-人,121.145862,24.913241,1641760980
"2022-01-10 09:09:59",苗栗縣後龍鎮台61線107公里北上側車道,死亡1;受傷0,普通重型-機車;自用-大貨車,120.746681,24.604979,1641776999
"2022-01-10 12:50:59","高雄市大樹區國道3號 384公里800.0公尺處北側向中線",死亡1;受傷1,自用-半聯結車;自用-小貨車(含客、貨兩用);乘客-人,120.452386,22.764574,1641790259
"2022-01-10 16:04:00",桃園市龜山區忠義路一段1433號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.354685,25.037148,1641801840
"2022-01-10 16:47:00","澎湖縣馬公市朝陽里朝陽路口 / 澎湖縣馬公市朝陽里文昌街口",死亡1;受傷0,自用-小客車;行人-人,119.578643,23.572897,1641804420
"2022-01-10 21:35:00","高雄市杉林區杉美路附近 / 高雄市杉林區桐竹路附近",死亡1;受傷0,自用-小客車,120.529400,22.939720,1641821700
"2022-01-11 00:37:00",臺中市大雅區大雅里中清路三段1215號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.645202,24.225274,1641832620
"2022-01-11 05:20:00",新北市土城區中央路2段96號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人;普通重型-機車;普通重型-機車;普通重型-機車,121.442222,24.978577,1641849600
"2022-01-11 07:24:00",臺北市萬華區西寧南路13號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;普通重型-機車,121.507512,25.048317,1641857040
"2022-01-11 11:53:00","高雄市湖內區中華街 / 高雄市湖內區中華街",死亡1;受傷1,普通重型-機車;普通重型-機車,120.225600,22.908000,1641873180
"2022-01-12 04:57:00","花蓮縣秀林鄉台9丁線 61公里200.0公尺處北側向路肩",死亡1;受傷0,普通重型-機車,121.733806,24.252492,1641934620
"2022-01-12 13:10:16","宜蘭縣蘇澳鎮蘇濱路2段口 / 宜蘭縣蘇澳鎮蘇濱路2段口",死亡1;受傷1,營業用-曳引車;普通重型-機車;乘客-人,121.831949,24.630653,1641964216
"2022-01-12 18:43:09","臺南市新市區光華街口 / 臺南市新市區長安街",死亡1;受傷1,普通重型-機車;普通重型-機車,120.297352,23.073604,1641984189
"2022-01-13 00:37:02",臺南市安南區安明路三段路燈146號處,死亡1;受傷0,普通重型-機車,120.151686,23.045472,1642005422
"2022-01-13 06:33:00",新北市土城區永安街78號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人;普通重型-機車;計程車-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,121.432026,24.963893,1642026780
"2022-01-13 07:06:00","彰化縣員林市南平里莒光路 / 彰化縣員林市南平里新生路",死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.567877,23.969110,1642028760
"2022-01-13 10:13:00","臺中市中區綠川里台中路 / 臺中市中區綠川里建國路",死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人;普通重型-機車,120.682499,24.135506,1642039980
"2022-01-13 10:40:00",臺東縣成功鎮三仙里高台路53號附近產業道路,死亡1;受傷0,普通重型-機車,121.396746,23.125483,1642041600
"2022-01-13 14:51:28",新竹縣湖口鄉德興北路66號,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.038379,24.929845,1642056688
"2022-01-14 00:19:00",臺中市北屯區大坑里東山路二段140號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.761160,24.199739,1642090740
"2022-01-14 08:46:00",臺南市安定區嘉同里六塊寮157-7號前0.0公尺口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.218157,23.074706,1642121160
"2022-01-14 12:52:00",彰化縣伸港鄉定興村彰新路7段402弄61號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.500978,24.159644,1642135920
"2022-01-14 17:16:00",新北市新莊區新北大道4段51號前0.0公尺,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.444448,25.058121,1642151760
"2022-01-14 18:07:00",新北市新莊區新泰路484號前0.0公尺,死亡1;受傷3,普通重型-機車;行人-人;行人-人;普通重型-機車,121.481339,25.010287,1642154820
"2022-01-14 18:13:00",臺中市大雅區上楓里民生路四段360號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.674210,24.240437,1642155180
"2022-01-14 20:22:39",苗栗縣頭份市中正一路630號前,死亡1;受傷0,行人-人;自用-小客車,120.938683,24.683063,1642162959
"2022-01-15 04:45:13",新竹縣湖口鄉勝利村勝利路2段84號前0.0公尺,死亡1;受傷0,自用-小客車;其他人-人,121.026716,24.863505,1642193113
"2022-01-15 07:32:00","臺中市大雅區橫山里東大路二段 / 臺中市大雅區橫山里科雅六路",死亡1;受傷0,普通重型-機車;自用-小客車,120.614000,24.215220,1642203120
"2022-01-15 08:55:00",屏東縣里港鄉鐵店村鐵店路53-40號,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);行人-人;行人-人,120.506048,22.773927,1642208100
"2022-01-15 09:19:00","彰化縣溪州鄉西畔村登山路3段東側 / 彰化縣溪州鄉西畔村西南巷",死亡1;受傷1,普通重型-機車;普通重型-機車,120.541128,23.829464,1642209540
"2022-01-15 15:58:00",桃園市中壢區華美一路6號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.262437,24.957655,1642233480
"2022-01-15 17:36:00",臺南市安南區海尾路上東向車道第36號路燈桿旁,死亡1;受傷2,普通重型-機車;乘客-人;乘客-人,120.178664,23.032573,1642239360
"2022-01-15 17:38:00",新竹縣竹北市中華路南下方向明新科大下坡處、台1線66公里,死亡1;受傷0,普通重型-機車,120.991837,24.859466,1642239480
"2022-01-15 17:40:05",南投縣仁愛鄉投80線3.8公里,死亡1;受傷0,普通重型-機車;行人-人,120.971382,24.065044,1642239605
"2022-01-15 19:18:00",桃園市桃園區國際路一段975巷12之1號前0.0公尺附近,死亡1;受傷0,腳踏自行車-慢車,121.286085,24.982225,1642245480
"2022-01-15 23:49:00",臺中市梧棲區安仁里臺灣大道九段2巷53號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-大貨車,120.536059,24.251250,1642261740
"2022-01-16 08:20:00",屏東縣麟洛鄉民生路與信義路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.536518,22.640102,1642292400
"2022-01-16 10:10:00",臺南市善化區文昌里西拉雅大道陸橋,死亡1;受傷1,自用-小客車;普通重型-機車,120.303312,23.107895,1642299000
"2022-01-16 21:00:00",新竹縣關西鎮新力里竹21鄉道高速公路橋下(土地公廟前),死亡1;受傷0,普通輕型-機車,121.132684,24.799722,1642338000
"2022-01-16 21:21:00","臺中市烏日區湖日里新興路 / 臺中市烏日區湖日里新興路廣惠三巷",死亡1;受傷0,自用-小客車;行人-人,120.620328,24.105414,1642339260
"2022-01-17 05:21:00",臺中市清水區西社里中清路九段前0.0公尺,死亡1;受傷0,自用-小客車;自用-大貨車,120.563776,24.271274,1642368060
"2022-01-17 17:34:00",桃園市中壢區新生路三段25之1號前0.0公尺附近,死亡1;受傷0,普通重型-機車;營業用-半聯結車,121.221923,24.988848,1642412040
"2022-01-17 23:31:00","臺中市潭子區栗林里中山路三段 / 臺中市潭子區栗林里豐栗路",死亡1;受傷0,普通重型-機車;自用-小客車,120.708055,24.227679,1642433460
"2022-01-18 10:33:52",屏東縣枋山鄉台一線內獅路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.643562,22.301624,1642473232
"2022-01-18 20:12:00",臺北市文山區興隆路3段192巷8弄7號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人;自用-小客車,121.557710,24.997743,1642507920
"2022-01-18 21:18:00",新北市新莊區幸福路800號前0.0公尺,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,121.446334,25.049179,1642511880
"2022-01-18 23:30:56",雲林縣口湖鄉台61線南下248.8公里處,死亡1;受傷0,自用-小客車,120.151353,23.574489,1642519856
"2022-01-19 09:26:00","高雄市林園區沿海路4段 / 高雄市林園區沿海路4段",死亡1;受傷0,普通重型-機車;民營客運-大客車,120.377100,22.503740,1642555560
"2022-01-19 10:40:00",彰化縣彰化市快官里東外環路前0.0公尺,死亡1;受傷0,普通重型-機車,120.593616,24.079842,1642560000
"2022-01-19 18:25:00",臺南市善化區溪美里台19甲線北向(溪尾838號對面)機車優先道,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.288209,23.144529,1642587900
"2022-01-19 20:03:00",高雄市大寮區鳳林一路492號前0.0公尺,死亡1;受傷0,普通重型-機車,120.409679,22.539851,1642593780
"2022-01-19 21:15:18","南投縣國姓鄉縣147線 5公里東側向外側",死亡1;受傷0,普通重型-機車,120.868654,23.937427,1642598118
"2022-01-19 21:30:00","苗栗縣苗栗市民族路口 / 苗栗縣苗栗市北安街口",死亡1;受傷0,自用-小客車;普通重型-機車,120.817638,24.563552,1642599000
"2022-01-20 08:00:00",臺中市西屯區港尾里中平路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;普通重型-機車,120.658403,24.192534,1642636800
"2022-01-20 08:30:00",屏東縣車城鄉溫泉路與溫新路口,死亡1;受傷0,普通重型-機車,120.748635,22.094204,1642638600
"2022-01-20 09:08:00",臺中市后里區墩南里堤防路216號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-半聯結車,120.712873,24.279223,1642640880
"2022-01-20 09:37:00",嘉義縣新港鄉南港村159線與嘉69線路口,死亡1;受傷0,普通重型-機車;自用-大貨車,120.305364,23.559896,1642642620
"2022-01-20 13:17:00","臺南市仁德區山線 369.0公里59.0公尺文賢路二段",死亡1;受傷0,行人-人;火車-其他車,120.251529,22.907987,1642655820
"2022-01-20 15:58:00","桃園市楊梅區青山里幼獅路一段口 / 桃園市楊梅區青山里青山一街口",死亡1;受傷3,自用-小客車;普通重型-機車;普通重型-機車;乘客-人,121.177783,24.922864,1642665480
"2022-01-20 18:01:00",新竹縣竹北市中華路1003巷口,死亡1;受傷0,普通重型-機車;營業用-全聯結車;自用-小客車,121.004550,24.850059,1642672860
"2022-01-20 18:46:00",臺北市萬華區堤外便道前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,121.499179,25.041590,1642675560
"2022-01-20 19:31:00",臺東縣卑南鄉賓朗橋北端,死亡1;受傷0,普通重型-機車,121.092354,22.808123,1642678260
"2022-01-20 23:51:00",彰化縣線西鄉下犁村和樂路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.466662,24.109458,1642693860
"2022-01-21 09:30:00","臺南市安南區四草大道口 / 臺南市安南區北汕尾一路口",死亡1;受傷0,普通重型-機車,120.132367,23.012065,1642728600
"2022-01-21 10:02:46","新竹縣關西鎮縣118線 32公里100.0公尺處",死亡1;受傷0,普通重型-機車,121.206519,24.775605,1642730566
"2022-01-21 10:14:36",臺南市新化區知義里中興路293號前0.0公尺東側,死亡1;受傷0,普通重型-機車,120.329237,23.025833,1642731276
"2022-01-21 11:12:00","高雄市大寮區鳳林三路 / 高雄市大寮區萬丹路",死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人,120.391053,22.612270,1642734720
"2022-01-21 18:04:00","彰化縣鹿港鎮洋厝里鹿草路3段 / 彰化縣鹿港鎮洋厝里鹿草路3段",死亡1;受傷1,行人-人;自用-小客車;普通重型-機車,120.451159,24.099557,1642759440
"2022-01-21 18:44:44",南投縣竹山鎮山崇里集山路一段1958巷口處,死亡1;受傷0,普通重型-機車,120.719185,23.808577,1642761884
"2022-01-21 19:40:00",屏東縣新園鄉五房路734-1號前0.0公尺,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.437856,22.506779,1642765200
"2022-01-21 19:59:00",屏東縣恆春鎮鵝鑾路段往北,死亡1;受傷0,普通重型-機車;租賃車-小客車,120.851058,21.905593,1642766340
"2022-01-21 20:45:00",桃園市桃園區中正路60號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,121.312540,24.991684,1642769100
"2022-01-21 23:00:00",新北市板橋區新北市板橋區大漢橋路往新莊方向上橋處,死亡1;受傷0,普通重型-機車,121.471979,25.017629,1642777200
"2022-01-22 00:00:00","臺北市士林區福國路 / 臺北市士林區福華路",死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.522468,25.101800,1642780800
"2022-01-22 15:52:00",高雄市岡山區岡山北路.號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;乘客-人,120.272766,22.816221,1642837920
"2022-01-22 20:41:00",苗栗縣三灣鄉中正路174號前。,死亡1;受傷1,行人-人;普通重型-機車;自用-小客車,120.957750,24.653666,1642855260
"2022-01-22 22:26:00",彰化縣溪湖鎮西勢里彰水路1段815號前0.0公尺南側,死亡1;受傷0,普通重型-機車;自用-大貨車,120.481395,23.934475,1642861560
"2022-01-23 16:55:00",高雄市甲仙區台29省道寶隆大橋號前0.0公尺附近,死亡1;受傷1,普通重型-機車;乘客-人,120.621091,23.077925,1642928100
"2022-01-23 23:41:00",臺中市大雅區橫山里東大路二段1100巷78號前0.0公尺,死亡1;受傷1,計程車-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;乘客-人,120.614308,24.236001,1642952460
"2022-01-24 09:15:29","臺南市下營區省道臺19甲線口 / 臺南市下營區區道南58線",死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.270440,23.216870,1642986929
"2022-01-24 15:04:00","臺南市白河區縣172線 36公里300.0公尺處附近",死亡1;受傷0,電動自行車-慢車,120.456261,23.350983,1643007840
"2022-01-25 06:12:00","彰化縣鹿港鎮東崎里東崎二巷 / 彰化縣鹿港鎮東崎里彰鹿路5段",死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.479561,24.049019,1643062320
"2022-01-25 10:28:00",臺東縣臺東市吉林路181巷32號前0.0公尺,死亡1;受傷0,行人-人;自用大客車-大客車;自用-小客車,121.160168,22.784270,1643077680
"2022-01-25 11:53:00",高雄市橋頭區仕豐路266號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.303800,22.746990,1643082780
"2022-01-25 12:12:00",彰化縣員林市三條里條和街58號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;其他人-人,120.585877,23.957329,1643083920
"2022-01-25 13:16:00",新北市石碇區新北市石碇區106乙線道路與無名路(國五交流道南下出口處),死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小客車,121.772246,25.041118,1643087760
"2022-01-25 19:16:00","臺中市大里區夏田里環河路一段 / 臺中市大里區夏田里中投東路三段",死亡1;受傷1,普通重型-機車;自用-小客車,120.664381,24.083087,1643109360
"2022-01-25 22:52:00",臺北市內湖區環東大道前0.0公尺,死亡1;受傷0,自用-小客車;大型重型2(250-550C.C.)-機車;自用-小客車,121.591038,25.061144,1643122320
"2022-01-26 00:06:00","臺中市后里區國道1號 163公里200.0公尺處南側向內側路肩",死亡2;受傷1,自用-小客車;自用-小客車;營業用-半聯結車;乘客-人,120.708746,24.323032,1643126760
"2022-01-26 07:48:27","臺東縣太麻里鄉台9線 394公里800.0公尺處東側",死亡1;受傷0,自用-小貨車(含客、貨兩用),120.975083,22.554858,1643154507
"2022-01-26 08:52:00",臺中市烏日區九德里中山路一段164號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.643520,24.109555,1643158320
"2022-01-26 09:22:13",苗栗縣苑裡鎮福田里5鄰52之7號往南100公尺,死亡1;受傷0,普通重型-機車,120.672041,24.421609,1643160133
"2022-01-26 09:50:00","桃園市蘆竹區南崁路二段口 / 桃園市蘆竹區南工路口",死亡1;受傷0,腳踏自行車-慢車;營業用-半聯結車,121.277736,25.057675,1643161800
"2022-01-26 12:43:13",宜蘭縣冬山鄉冬山路1段236號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小客車,121.805681,24.621142,1643172193
"2022-01-26 15:11:00",彰化縣大城鄉菜寮村東平路前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.321878,23.869639,1643181060
"2022-01-26 15:59:14",南投縣南投市民族路160號,死亡1;受傷1,普通重型-機車;普通重型-機車,120.690050,23.909788,1643183954
"2022-01-26 18:18:00","屏東縣屏東市自由路口 / 屏東縣屏東市仁愛路",死亡1;受傷0,自用-小客車;行人-人,120.495803,22.680539,1643192280
"2022-01-27 07:33:00",新竹市北區中清路1段262-3號,死亡1;受傷0,普通重型-機車,120.931480,24.834975,1643239980
"2022-01-27 07:51:13",苗栗縣造橋鄉龍昇村台1線105公里處附近,死亡1;受傷1,自用-曳引車;自用-小客車;乘客-人,120.839325,24.643703,1643241073
"2022-01-27 08:09:00",臺中市烏日區溪壩里溪南路一段156號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.644078,24.085316,1643242140
"2022-01-28 15:20:00","臺北市文山區興隆路4段 / 臺北市文山區興隆路4段",死亡1;受傷0,民營公車-大客車;乘客-人;普通重型-機車;自用-小客車,121.561955,24.983636,1643354400
"2022-01-28 16:07:19",新竹縣竹北市堤頂街上分6支7電桿(系統無此路段),死亡1;受傷1,普通重型-機車;普通重型-機車,121.054068,24.792737,1643357239
"2022-01-28 18:04:11",嘉義縣布袋鎮龍江里台61線270公里200公尺處南下側車道,死亡1;受傷0,普通重型-機車,120.165770,23.389863,1643364251
"2022-01-28 20:02:00",臺東縣關山鎮崁頂121號前,死亡1;受傷1,自用-小貨車(含客、貨兩用);行人-人;自用-小客車,121.158394,23.032969,1643371320
"2022-01-28 21:44:00",苗栗縣苗栗市建功里中山路187號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.823365,24.565412,1643377440
"2022-01-29 01:48:41",新竹市香山區西濱快速道路與高濱路口,死亡1;受傷0,普通重型-機車;營業用-半聯結車,120.898396,24.744388,1643392121
"2022-01-29 11:43:00","桃園市楊梅區楊湖路一段口 / 桃園市楊梅區楊湖路一段口",死亡1;受傷0,普通重型-機車;自用-小客車,121.124343,24.915126,1643427780
"2022-01-29 13:20:00","彰化縣伸港鄉海尾村中興路2段 / 彰化縣伸港鄉海尾村海尾路",死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.488379,24.165629,1643433600
"2022-01-29 23:35:40",屏東縣內埔鄉竹山路99號前,死亡1;受傷0,普通重型-機車,120.574329,22.607828,1643470540
"2022-01-30 00:01:00",新北市板橋區中山路1段252號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.471462,25.014501,1643472060
"2022-01-30 05:22:00",新北市新店區新北市新店區灣潭路與灣潭路21號,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.538167,24.941232,1643491320
"2022-01-30 07:25:00","宜蘭縣壯圍鄉新南路2段附近 / 宜蘭縣壯圍鄉新南路附近",死亡1;受傷1,普通重型-機車;普通重型-機車,121.799526,24.719252,1643498700
"2022-01-30 09:55:00",臺南市新化區那拔5號,死亡1;受傷1,自用-小客車;乘客-人,120.343353,23.066606,1643507700
"2022-01-30 10:26:19",嘉義縣梅山鄉瑞峰村162甲線33.6公里,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.657460,23.562802,1643509579
"2022-01-30 11:35:00",苗栗縣頭份市中央路與中央路154巷口,死亡1;受傷0,自用-小客車;普通重型-機車,120.906412,24.687624,1643513700
"2022-01-30 15:39:28",屏東縣萬巒鄉建興路北上車道,死亡1;受傷3,普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.571158,22.587278,1643528368
"2022-01-30 20:21:00",彰化縣大城鄉上山村魚寮路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用),120.347672,23.906687,1643545260
"2022-01-31 00:14:00",臺東縣臺東市建和二街17巷23號前0.0公尺,死亡1;受傷0,普通重型-機車,121.051103,22.719026,1643559240
"2022-01-31 06:18:00",桃園市楊梅區中山北路一段國道一號南下匝道口往楊梅市區方向,死亡1;受傷0,自用-小客車;普通重型-機車,121.164073,24.909299,1643581080
"2022-01-31 10:00:00","臺中市北區金華里進化路 / 臺中市北區金華里興進路",死亡1;受傷0,自用-小客車;普通重型-機車,120.694374,24.155267,1643594400
"2022-01-31 15:32:01","花蓮縣豐濱鄉台11線 61公里300.0公尺處",死亡1;受傷3,自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人,121.523996,23.579595,1643614321
"2022-01-31 15:53:00",桃園市龜山區忠義路一段上機車優先道往長壽路方向(電桿:楓樹幹21B4235HF374旁),死亡1;受傷0,普通重型-機車,121.348309,25.017473,1643615580
